可是當時我的中文還不太好的 可是當時我的中文還是不太好的
我就馬上回到我買鳥的那一家去要換鳥 我就馬上回到我買的那一家去要換鳥
所以我就生氣 所以我就生氣了
因為現在世界上的年輕人喜歡日本文化的很多 因為現在世界上的年輕人喜歡日本文化的人很多
這對日本人很開心 這是對日本人很開心
我要教日本的文化 我教日本的文化
所以我覺得用剛才說的教材教學生是最好的教法 所以我覺得用剛才說的教材教學生是最好的教學法
我希望學生學到很深的日本文化 我希望學生學到很深日本文化
就會很多口語的說法 就會說很多口語的說法
課本裡的說法跟口語的說法不一樣的地方太多了 那個課本裡的說法跟口語的說法不一樣的地方太多了
你知不知道為甚麼我要這麼幫你 你知不知道為甚麼我這麼幫你
我家附近有家大大的水果市場 我家附近有大大的水果市場
但沒有機會討論我們生活的情況 但沒有機會討論我們互相生活的情況
所以我利用機會寫一封信給你 所以我利用寫一封信給你
雖然我們每天在同一間房子裡一起生活 雖然我們每天在同一間房子裡一起過生活
「如果你真的要的話」 「如果你真要的話」
如果找不到或者有事的話 如果找不到或者發生有事的話
每天跟家人道別 每天跟家人
所以連中國都沒有這裡那麼多的古東西 所以連中國沒有這裡那麼多的古東西
可之後由態度來表達請他們不要管我 可之後由態度來表達請他們不管我
所以我都隨便逛逛 所以我隨便逛逛
你大概想知道我們怎麼認識的 你大概想知道我們怎麼認識
因為跟它熟悉 因為跟它
所以我一直抱怨 我一直抱怨
我終於買了一台蘋果公司的筆電 我終於買了一台蘋果公司筆電
所以希望能藉由出國找尋新生活與新方向的故事 所以希望能藉由出國找尋新生活新方向的故事
我以後要買自己的房子 我要買自己的房子
我比較喜歡我在台灣的房子 我比較喜歡我台灣的房子
因為店裡的配樂實在太大聲 因為店裡的配樂實在大聲
因為我的房間很大 我的房間很大
美國的房子環境很安靜 美國的房子的環境很安靜
但是跟我在美國租的房子比起來小多了 但是跟我住在美國租的房子比起來小多了
因為我跟我的女朋友是台灣政府邀請的獎學生 因為我跟我的女朋友是台灣政府邀請獎學生
你是我的最好的朋友 你是我的最好朋友
所以我們一起來到台灣 所以我們一起來台灣
我們變成了男女朋友 我們變成男女朋友
我和同學一起參加各種活動 我和同學一起參加各活動
而有許多人參加 而許多人參加
我現在告訴你 我現在要告訴你
我們學校的網站上也可以看到活動照片 我們學校的網站上也可以看活動照片
我第一次親眼看見他 我第一次親眼看他
他去年的打擊率成績蠻不錯 他去年的打率成績蠻不錯
在每個星期天下午四點到六點都有音樂歌唱比賽 在每個下午四點到六點都有音樂歌唱比賽
那是一個為剛畢業高中生舉辦的一種活動 那是一個為剛畢業高中生的一種活動
你學習得怎樣了 你學習怎樣了
她實在給我們帶來一個不能忘記的一天 她實在給給我們帶來一個不能忘記的一天
我開始說英文 我開始了說英文
因為剛做了一件好事 因為剛做了一件好的事
我已經安排好了 我已經安排好
台灣有好多好吃的東西 有好多好吃的東西
只要你們來我會帶你們去玩 只要你們來我帶你們去玩
本來就是要用溝通來彼此達到共識 本來就是要用溝通來是彼此達到共識
拿環境來說 拿環境來
北京的交通非常亂 北京的交通是非常亂
不過她唱歌的聲音聽起來不是二十歲 不過她唱的聲音聽起來不是二十歲
所以我想推薦你一些我喜歡的小吃 所以我想推薦你一些我最喜歡的小吃
他也許正是所謂的那種人 他也許是所謂的那種人
我們覺得喜歡年輕女孩的人是很特別的 我們覺得喜歡年輕女孩的人是很特別
所以買了一張唱片 所以買一張唱片
我有禿頭 我有一個禿頭
請你趕快告訴我 請你趕快告訴我了
如果你們旅遊有不懂的地方 如果你們關於旅遊有不懂的地方
去餐廳吃中國菜什麼的 去餐廳吃了中國菜什麼的
我來台灣以後去過他的展覽 我來台灣以後去他的展覽
因為高先生的語言很深 因為高先生的語言感很深
歷史 的歷史
宗教 的宗教
她一邊哭一邊告訴我 她一邊哭邊告訴我
我哥再三個月就要結婚了 我哥是再三個月就要結婚了
我每天選兩三本的繪本唸給他們聽的 我每天選兩三本的繪本給他們聽的
那時候有很多同學來看 那間時候有很多同學來看
那部電影是在墾丁做的 那部電影在墾丁做的
我一定找他的歌聽一聽 我一定找他的歌首聽一聽
都是免費的 都是免費
每一個人有什麼不公平的事 每一個人有什麼不公平事
現在她爸爸生了很大的病 現在她爸爸生很大的病
雖然五月的天氣一定比英國熱 雖然五月的天氣一定比英國熱得多
那時候我不管內容好不好 那時候我不管內容的好不好
他總是很快樂 他總是就很快樂
西洋情人節的晚上 西洋情人節晚上
她一聽就哭了起來 她一聽就哭起來
總是有機會跟台灣商人一起工作 總是有機會跟台灣商人工作
我是很幸福的 我是很幸福
都是外國人覺得很容易了解的 都是外國人覺得很容易了解
自從與您們道別的那一天起 自從與您們道別的那一天
一直到一個多月前我才漸漸地習慣在學的生活 一直到一個多月我才漸漸地習慣在學的生活
在每個人的心中一定會有自己最欣賞的人 在每個人的心中上一定會有自己最欣賞的人
我要逼我的學生又看英文的小說又寫文章 我要逼我學生又看英文的小說又寫文章
但沒辦法討論 沒辦法討論
因此我試試看跟店員討論價格 我試試看跟店員討論價格
我也生氣我不能讓我們的朋友看我新買的東西了 我也生氣我不能讓我們的朋友看我新買的東西
不但很生氣我上當了 不但我很生氣我上當了
然後我們去了北京 然後我們去北京
我要他們知道雖然老師的教法很重要 我要他們知道雖然老師的教法是很重要
如果我是大學老師 如果我是大學老
我覺得我每天來上課的時候很有精神而且對學生有耐心 我覺得我每天來上課的時候很有精神而且對學生很多有耐心
我收到你的信了 我收到你的信
臺灣的天氣容易變 臺灣的天氣會容易變
到了晚上 到晚上
所以你一定要帶長袖衣服 所以你一定要帶長袖
免得感冒 免得會感冒
不過他是有魅力的人 不過有魅力的人
每一個團體有十多名學生 每一個團體有十個多名學生
九月二十一日 九月二一日
我會一直等你們來 我一直等你們來
昨天又跟她出去看浪漫的電影 昨天又跟她出去看浪漫的電影片
所以你們準備衣服的時候要考慮這裡的天氣 所以你們準備衣服的時候考慮這裡的天氣
所以我決定在機場過夜 所以我決定了在機場過夜
我那時已經上當了 我已經上當了
我開始念 開始念
當天的爵士樂團表演真的好聽 當天的爵士樂團真的好聽
從早上就去故宮博物院 第一天從早上就去故宮博物院
直到下午五點 下午五點
但是很容易看到 但是很容易看到的
那天的表演中最棒是學校請一位很有名的人來 那天的表演最棒是學校請一位很有名的人來
我得提高我的教學方法 我得提高我教學方法
因為她是語言老師 因為她是語言大學老師
可是我真的很喜歡學中文所以才來台灣的 可是我真的很喜歡學中文所以才要來台灣的
對我來說房東會說日文是讓我很放心的事 對我來說房東會說日文是很放心的事
台灣卻是大部分都在一起 台灣是大部分都在一起
最重要的是讓他們學個不停 最重要是讓他們學個不停
我希望老師可以幫助我們 我希望老師可以幫助
差不多每個人都愛吃 差不多每個人都會愛吃
也是個超好吃的點心 然後是也是個超好吃的點心
我們班應該表演的節目是教同學們做月餅 我們班應該表演的節目是教學們做月餅
其他的都很好 其他的都是很好
他好像戴著一個帽子 他好像有戴著一個帽子
你常常都在深夜十二點之後才進入宿舍 你常常都在深夜十二點之後才進入了宿舍
最近發現你的一些生活習慣影響到彼此作息 最近發現到你的一些生活習慣影響到彼此作息
忘不了 而忘不了
上個禮拜我在一個晚會碰到了她 上個禮拜我在一個晚會碰到她
至於我也希望大家都準備一項能夠代表自己文化的表演節目 至於我希望大家都準備一項能夠代表自己文化的表演節目
以便老師們規劃 以便老師們方便規劃
也能讓每一個人感受到彼此的文化特色 也能讓每一個人感受到彼此的文化
這樣不但能促進學生之間的交流 這樣不但促進學生之間的交流
在禮堂只有另外一個人聽得懂中文 在禮堂只有另外一個人會聽得懂中文
可是有一個夜晚我不是暫時回去 可是有一個夜我不是暫時回去
有時候連在路上你也亂丟垃圾 有時候連在路上你丟垃圾
這樣做是沒有禮貌的方式 這樣做是沒有禮貌的方式嗎
我也發現你亂丟垃圾 我也發現了你亂丟垃圾
我發現你有幾個不好的生活習慣需要改變 我發現了你有幾個不好的生活習慣需要改變
晚上我們大家一起出門吃晚飯 我晚上我們大家一起出門吃晚飯
所以我不要搬家 我不要搬家
因此不斷地學習最後受到大家的肯定 因此不斷地學習努力最後受到大家的肯定
他也是跟我一起住的人當中一個人而已 他也是跟我一起住的人中一個人而已
就是在我的房間裡老鼠跟壁虎也一起住 就是在我的房間裡老鼠跟壁虎也住
你一定已經去過了所以對你來說很無聊 你一定已經去了所以對你來說很無聊
有關這個表演 這個表演
在法國 在法國裡
練習的地點第一希望是在學校的體育館 練習的地點是第一希望是在學校的體育館
如果這個很難安排的話 如果這個是很難安排的話
關於如何使節目很有趣 關於使節目很有趣
跳舞時有沒有整齊等等 跳舞的時有沒有整齊等等
這一個晚會是第一次或最後一次 這一個晚會是第一次或最後一次的
很少有機會知道他們的生活 很少機會知道他們的生活
還有我們一起掉下去的時候 還有我們一起下去的時候
我不是想參觀博物館 我不是參觀博物館
最近的飛機票很便宜 最近的飛票很便宜
當成很好的運動 很好的運動
看到一位老人家走路很困難 看到一位老人家走路型很困難
跟我一樣 跟我一樣的
聽說他在全亞洲相當有名 聽說他全亞洲相當有名
其實我最想要的是網路跟電視 其實是我最想要的是網路跟電視
我們會去按摩還有喝下午茶 我們會去做按摩還有喝下午茶
那我先把妳來到台灣時的安排告訴你 那我先把妳來到台灣時候的安排告訴你
他很會彈鋼琴 他有很會彈鋼琴
有三個人來了 三個人來了
雖然奇怪 雖然是奇怪
我嚇得滿頭大汗了 我滿頭大汗了
也怕熱 也熱
我覺得我是世界上最幸福的 我覺得我命是世界上最幸福的
他有甚麼困難我一定馬上幫他 他有甚麼困難我一定馬上願意幫他
所以我不能走路他就抬我下山去 所以他我不能走路他就抬我下山去
可能不能活到現在了 可能不能活下去到現在了
我想一定是你們會喜歡的地方 我想一定你們會喜歡的地方
我每天都在想你們好不好 我每天想你們好不好
我也會努力改變 我也努力改變
請你去念這本書 請你去念這本書嘛
如果不是你的話我早就請他走路了 如果不是你的話我早就請他走了
可是誰知道我們的身體能否永遠沒有病呢 可是誰知道我們的身體永遠沒有病呢
要不然可能又浪費掉了 要不然可能又浪費
再到淡水去 再淡水去
我們看到沒有錢的人 我們看到沒有錢人
女主角跟別的小孩子一樣 跟別的小孩子一樣
他可以一直說他兄弟姊妹的好話 他可以一直說他兄弟姊妹的話
雖然我的爸爸能把責任丟給他們 雖然我的爸爸能把責任丟給他們去
包含水電 水電
在聖經裡 聖經裡
在聖經裡 聖經裡
你們信耶穌可以得到永生 你們可以得到永生
所以大家都認識這本書 所以大家認識這本書
我不想麻煩你 我麻煩你
第二是比較現代的 第二是比較現代
我們已經討論過 我們已經討論
所以我覺得這個是很好的機會可以跟你見面啦 所以我覺得這個是很好的好機會可以跟你見面啦
五點半練習 五點半有練習
所以我們練習的時間都互相配合 所以我們練習的時間都配合
所以比台灣的大 所以比台灣大
我想要住在比較鄉下的屋子 我想要住在比較鄉下的一家屋子
台灣的房子沒有可以脫鞋的地方 台灣的房子沒有脫鞋的地方
我也安排了我們最後一個行程 我也安排了我們最後一個的行程
那邊有很多店像賣小吃的 那邊有很多店像小吃的
在漁人碼頭我們可以先過情人橋逛一逛買一點小吃或是喝咖啡 在漁人碼頭我們可以先過情人橋到另外一邊逛一逛買一點小吃或是喝咖啡
當我一看到她的眼睛就感動了 我一看到她的眼睛就感動了
又問我一樣的問題 又問我一樣的
還有去淡水捷運站附近的海邊散散步後 還有淡水捷運站附近的海邊散散步後
所以有時迷路了 所以有的時迷路了
我跟我的家人到中國去玩 我跟我的家人到中國去玩了
我覺得他會很喜歡 我覺得他很喜歡
那個時候我們碰到了一個問題 那個餓時候我們碰到了一個問題
有的河水很乾淨 有的河水裡很乾淨
請你告訴我 告訴我
另外比較小的他的爸爸媽媽在別的地方工作 另外比較小他的爸爸媽媽在別的地方工作
不過我發現皮的味道也是很重要的部分 不過我發現了皮的味道也是很重要的部分
好吃的水餃 好吃餐廳的水餃
我很有興趣到底那個皮怎麼做 我很有興趣那個皮怎麼做
他原諒我了 他原諒我
更加知道自己做錯事 更加知道自己做錯
我從那一天再也不想要跟他說話了 我從那一天再也不要跟他說話了
你一定很高興吧 你一定高興吧
因此帶一件外套 因此只有帶一件外套
只按我父親的話我跟他每天說我愛他 只按我父親的話我跟他每天說我愛他就夠了
我們可以一邊走 我們一邊走
要是學校同意讓學生到博物館去參觀或者看電影 要是學校會同意讓學生到博物館去參觀或者看電影
而且我每個禮拜要放給我學生看一部電影 而且我每個禮拜一次要放給我學生看一部電影
我相信學生只要早一點學好英文就會給他們比較多機會可以找到很好的工作 我相信學生只要早一點學好英文就會給他們比較多機會找到很好的工作
所以我希望我的學生們要把英文學好 所以我希望我學生們要把英文學好
我當過小學老師 我當過小老師
不但用這個辦法 不但這個辦法
我才不想教英文 我才想教英文
所以他的哥哥死了以後他一直哭 所以他的哥哥死了以後一直哭
他也一直約我一起去玩 他一直約我一起去玩
我們在很貴的餐廳吃宮保雞丁 我們在很貴的餐廳去吃宮保雞丁
那時候我第一次看到他 那時候我第一次看到
雖然我只有二十歲 雖然我只二十歲
或是是因為我只有二十歲 或是是因為我只二十歲
可以猜猜看我長大了要做甚麼 可以猜猜看我長大了要做甚麼的
可是問題就在這裡 可是問題在這裡
我全部的錢都是父母的 我全部的錢是父母的
那只是小問題 那只是小的問題
家人過生活 家人我要過生活
她對我有很大的影響 她對我很大的影響
她是我未來的目標 她是我的目標
應該罵我們的時候一定會罵等 應該罵我們的時候會罵等
我們一邊吃一邊談話 一邊吃一邊談話
我後來知道這跟氣候有關係 我後來知道跟氣候有關係
有捷運也有公車 有捷運有公車
我希望上完老師的課後看得懂比較書面語的文章 我希望上老師的課後看得懂比較書面語的文章
我來台灣兩年了算是比剛來的人熟 我來台灣兩年了算是比剛來的人很熟
有一天她買了一個禮物送給我 有一天她買了一個禮物說送給我
有一天在學校遇到一個新同學 台灣有一天在學校遇到一個新同學
一般來說都各有各的好處 一般來說各有各的好處
以後可不可以多討論語言學 以後可不可以多討論語言
還想在我們的教室裡練習 還在我們的教室裡練習
再說我們都還沒學過中國或台灣舞 再說我們都還沒學中國或台灣舞
我從來沒有住過那樣的小島 我從來沒有住過在那樣的小島
但這不是我 這不是我
他跟平常一樣去釣魚 他平常一樣去釣魚
或者不見的話 或不見的話
常常覺得「如果他突然死掉」 常常覺得「如果他突然死」
我覺得這個夢可能是我上輩子的經驗 我覺得這個夢可能是我的上輩子的經驗
一次這樣的經驗也沒有 這樣的經驗也沒有
他每天很有精神 他每天有精神
晚上一起在床上睡覺 晚上一起在床上睡覺了
你最近好嗎 你最近好
雖然現在住的房子小多了 雖然現在住的房子小多
我的房租一個月才三千塊而已 我的房租是一個月才三千塊而已
因為在韓國跟父母一起住 因為在韓國跟父母一起住的
可是我要看得到更多夜景的房子 可是我要可以看得到更多夜景的房子
我國中的時候 我國中學生的時候
他當然會來 他當然就會來
那個活動結束的時候 那個活動的時候
還有強調我們學校的歷史和重要性 還有強調我們學校的歷史和重要性了
所以可以說比中國菜還像韓國菜 所以可以說比中國菜像韓國菜
我們聊到美國與台灣不同 我們聊天到美國與台灣不同
我也覺得他是很認真的 我也覺得他是很認真
我們每個晚上都喝了一點酒 我們每個晚上喝了一點酒
所以我留到比較晚 所以我留著到比較晚
廁所跟洗澡間在不同的地方 廁所跟洗澡間不同的地方
你還記得我上個月參加過一個學校舉辦的活動 你還基記得我上個月參加過一個學校舉辦的活動
叫國際英語營 叫國際英營
我覺得要跟日本航空公司的空姐學習的地方很多 我覺得跟日本航空公司的空姐學習的地方很多
我一直想去日本 一直想去日本
你也去日本嗎 你也去日本
可是我再也不要去那家烘焙屋 可是我再也不要去那家烘焙
然後服務生的態度都很好 然後服務生的態度很好
我聽他的話後 我聽他的話
非常感動 非常感動了
我要不是她幫我 我要不是她沒幫我
怎麼過去她那兒 過去她那兒
因為內容讓我笑或是讓我心裡一點兒難過 因為讓我笑或是讓我心裡一點兒難過
讓他知道這本書很有意思 讓他知道這本書裡面很有意思
寫功課什麼的 寫功課也有什麼的
我們國語中心的學生可能沒辦法用那棟體育館 我們國語中心的學生沒辦法用那棟體育館
但是下課以後沒有人上班 下課以後沒有人上班
雖然我們班有的同學住在比較遠的地方 雖然我們班的有的同學住在比較遠的地方
都要在舞台上一起跳舞 都要舞台上一起跳舞
要去別的地方還是回家 還要去別的地方還是回家
學生不會有興趣繼續認真地學 學生不會有興趣繼續認真地學好
但是從這個經驗我學到語言為甚麼是最重要的 但是從這個經驗我學到語言為甚麼是最重要的學問
我到台灣的時候才真的懂人家為甚麼說語言是最重要的 我到台灣的時候才真的懂人家為甚麼說語言是最重要的學問
這樣我可以幫他們找到未來的職業 這樣我可以幫他們未來的職業
我決定多休息一點 我決定了多休息一點
就表現得越來越不好了 就表現越來越不好了
用了很多對話形式 用很多對話形式
希望可以找到一個適合我生活的房子住 希望可以找到一個適合我的生活的房子住
這個事情讓我們變成很好的朋友 這個事情讓我們變成很好朋友
我不說話了以後 然後我不說話了以後
可是我長大了以後 可是我長大了後
每次跟別人說話都有錯誤 每次跟別人說都有錯誤
我第一個禮拜的生活是最難過的 我第一個禮拜的生活是最難過
每天我都會在師大電腦中心看網路廣告 每天我都會在師大電腦看網路廣告
可是這裡的生活物價也很高 可是這裡的生活的物價也很高
法國人不管貴 法國人不管多少貴
他就開始幫市民一些忙 他就開始幫市民一些
我一直想「我活下去也應該沒有意思」 我一直想了「我活下去也應該沒有意思」
不知不覺中它的內容很好 不知不覺它的內容很好
我本來想跳出去這個電影名稱的意思是有關跟舞蹈 我本來想跳出去這個電影名的意思是有關跟舞蹈
外面的空氣沒有什麼污染 外面的空氣裡沒有什麼污染
每個人都想像過自己會成為英雄 每個人都想像過自己成為英雄
就愛上她了 就愛上她
可是我跟他們很難溝通 我跟他們很難溝通
這裡早晚的溫差很大 這裡早晚的氣溫差很大
所以跟他的媽媽吵架 所以有跟他的媽媽吵架
雖然這部連續劇沒有在很特別的地方拍 雖然這部連續劇沒有在很特別的地方拍的
她搬到一個村子 她搬了搬到一個村子
也介紹他們的文化 介紹他們的文化
請你告訴我你放假過得怎麼樣 請你告訴我你的放假過得怎麼樣
我的房間在師大夜市附近 我房間在師大夜市附近
一來時 一來的時
我理想的房子是又安靜又乾淨的房子 我的理想的房子是又安靜又乾淨的房子
我的目的就是要讓學生有批評的想法 我的目的就是要讓學生有批評想法
學生已經有經濟的基本知識 學生已經有經濟基本知識
每次看那張相片都讓我覺得很獨立 每次看那張相片讓我覺得很獨立
但當我說該如何解決那些問題時 但當我說該如何解決那些問題
我在我國家以前也租房子住 我在我國家以前也租房住
雖然我那時候還不太懂 雖我那時候還不太懂
用力摸了我的肩膀 用力摸上了我的肩膀
可是印尼物價比較便宜 可是印尼比較便宜
我跟家人去了一個很美的地方 我跟家人去一個很美的地方
書裡有很多很有意思的題目 書裡很多很有意思的題目
也有的時候感覺以前沒看過它 也有的時候有感覺以前沒看過它
我每次看都會找到新的東西 我每次看會找到新的東西
老師覺得這件事很奇怪 老師覺得這事很奇怪
他們是信仰宗教的人 他們是宗教的人
所以他們決定幫教堂的人找到哪裏不對 所以他們決定幫教堂的人找到哪裏有不對
我改變了很多我的想法 我改變很多我的想法
要是對你不太麻煩 要是對你不太麻煩了
我想請教一下一些中文的問題 我想請教一下一些中文問題
可是我倒也很少遇到有人對教中文的教法有跟我一樣的想法和理想 可是我倒也很少遇到人對教中文的教法有跟我一樣的想法和理想
後來聽到他跟他的朋友討論一些跟今天的年輕人和現代社會有關的問題 後來聽到他跟他的朋友討論一些跟今天的年輕和現代社會有關的問題
但出去吃飯很貴 出去吃飯很貴
雖然我們的東西都很好 雖然我們的東西都好
我想住在德國更好 我住在德國更好
還有一定要有狗 還有一定有狗
我的房子一定要很大 我的房子一定很大
所以各方面我也應該向他學習 所以各方面我應該向他學習
我到台灣第一天的故事 我到台灣第一天的日子的故事
大概六點我的朋友陪著我一起去士林夜市 大概六點我的朋友陪著我一起去士林夜市了
對所有的東西和夜市的氣氛都很好奇 所有的東西和夜市的氣氛都很好奇
你們要吃這麼小的狗嗎 你們要吃這麼小狗嗎
為什麼她覺得韓國人就一定要吃狗呢 為什麼她覺得韓國人一定要吃狗呢
這個不是好壞的問題 這個不是好的壞的問題
所以每次跟他會面我都很高興和安慰 所以每次跟他會面我很高興和安慰
我會在這裡一直等你們 我在這裡一直等你們
在這裡你們有機會吃到很多種菜 在這裡你們有機會很多種菜
為什麼你不常丟垃圾 為什麼你不常丟垃圾嗎
我知道你的國家在很冷的地方 我知道你的國家在總是很冷的地方
東西放在房間裡 東西放著在房間裡
我很對不起您有這樣的情況 我很對不起您有這樣的情況可
但還是不夠好 還是不夠好
如果我當老師 如果我在當老師
日本是個島國在那邊住的外國人比台灣少 日本是個島國在那邊住的外國人比台灣少極了
我希望學生去國外做生意或者去旅行 我希望學生去國外做生意或者是去旅行
而且很害羞 而且很容易害羞
你雖然剛剛搬來我家 你雖然剛剛搬來我家的
你也玩遊戲 你也是玩遊戲
我有一個重要的事情要告訴你 我有一個重要事情要告訴你
我朋友給了我那本書 我朋友給我那本書
我覺得我們一定是命裡的愛人 我覺得我們一定是命裡的雙愛人
這是那天我的樣子 這是那天我穿的樣子
她也是我的幸福 她也是我幸福
我們還不知道對方的樣子 我們還沒不知道對方的樣子
他只認識了兩個月 他只認識兩個月
美國進入第二次世界戰爭的時候 美國進入第二世界戰爭的時候
說個例子 說例子
這將軍叫史迪威 將軍叫史迪威
那天我有課 那天我有上課
我跟牠在一起的時間越長 我跟牠一起的時間越長
告訴他中國跟美國的關係 告訴中國跟美國的關係
既然我有八個多小時在飛機上 既然我有八個多小時在飛機
可是我覺得下個月天氣比較舒服一點 可是我覺得下個月比較舒服一點
所以到現在我們都過得很開心 ”所以到現在我們過得很開心
還是有一點緊張 有一點緊張
帶我去好玩的地方 帶我好玩的地方
我希望是選一個你方便的時間 我希望我是選一個你方便的時間
你可以表示你的意見 你可以表你的意見
我們見面那天 我們見面那一天
你們也應該自動自發 你們也應阿該自動自發
我很開心有這個機會可以見到你 我很開心可以有這個機會可以見到你
也會有一樣的心情 也是會有一樣的心情
在士林夜市見面 在士林夜市可以見面
有人告訴我他們要準備考試 有人告訴他們要準備考試
如果一個星期有兩課 如果一個星期有兩個課
這就要從我小的時候開始說起 這就要從我小的時候開始
對我來說又有用又好玩 對我來說又有用又很好玩
我十六歲的時候開始賺錢 我十六歲的時候開始了賺錢
就是在台灣民主化之過程 就是台灣民主化之過程
最後的場面 最後場面
我看銀幕裡的日譯字幕而懂意思 我看銀幕裡日譯字幕而懂意思
就是我原來是非常喜歡亞洲歷史 就我原來是非常喜歡亞洲歷史
他到天上去跑來跑去的 他到天上去跑來跑去
和一點的日文 和有一點的日文
我覺得滿有意思的 我覺得也滿有意思的
將來我也想跟他一樣 將來我也跟他一樣
你可不可以那天五點在台北車站五號出口等我 你可不可以那天五點在台北車站五號出口等我嗎
玩一個小時就夠了 玩了一個小時就夠了
因為我已經選定晚餐的餐廳 因為我已經選晚餐的餐廳
我現在住的房子環境不錯 我現在住的房子的環境不錯
不知道他能吃得慣嗎 不知道他能吃得慣
一起喝酒很開心 一起喝酒很開心吧
聽到下個月你會來台灣找我 聽到下個月你來台灣找我
我本來想你來住我家 我本來想你住我家
但我還不知道你幾號要來 但我還不知道幾號要來
我真的很喜歡他 我真的很喜他
明星要包括ｓｎｏｏｐｙ狗狗跟五毛 歌明星要包括ｓｎｏｏｐｙ狗狗跟五毛
因為跟我在我國家那邊的房子不一樣 因為跟我在國家那邊的房子不一樣
要看看屋況順便收房租 要看看順便收房租
都來請他幫忙 都來請幫忙
我等你回答 我等你的回答
我們很久沒有見個面了 我們很久沒有見個面
因為歐洲和美國還想控制非洲的經濟 因為在歐洲和美國還想控制非洲的經濟
我在寧波讀碩士 我在寧波讀碩士了
第一個部份是關於非洲的過去 第一個部份關於非洲的過去
第二個部份是關於非洲的未來 第二個部份關於非洲的未來
我的愛看書的哥哥給我介紹了這本書 我的愛看書的哥哥給我介紹這本書
可能我會穿很花的衣服 可能我會穿很有花的衣服
請你趕快回信給我 請你趕回信給我
你應該帶我到可去的地方嘍 你應該帶我到可去的地方去嘍
我想美國有很多可去的地方 我想美國有很對多可去的地方
宜家我去美國的時候你一定會來接我吧 宜家我去美國的時候你一定會接我吧
我很想跟你見面 我很想到跟你見面
因為下個月我們學校放兩個月的暑假 因為下個月我們學校都放兩個月的暑假
可是還是不知道對方的臉 可是還是的確不知道對方的臉
在台北車站對面的新光三越百貨公司門口見面 在台北車站對面的新光三越百貨公司門口要見面
再逛街可以吧 再逛街可以了吧
然後再去喝飲料吧 然後去喝飲料吧
你一定會覺得過癮的 你一定會過癮的
現在就興奮起來了 現在就興奮起了
這些對我來說算是新鮮的感覺 這些對我來說新鮮的感覺
假設今天我發生不幸的事 假設今天我身上發生不幸的事
我怎麼知道這本書的嘛 我怎麼知道這本書嘛
沒吃什麼東西也可以生活下去 沒吃麼東西也可以生活下去
還有喝的東西也很好 還有喝東西也很好
那是在台北最大也最有名的夜市 在台北最大也最有名的夜市
臭豆腐的味道不習慣也沒吃過 臭豆腐的味道也不習慣也沒吃過
應該大部分的人都喜歡小籠包吧 應該大部分的人喜歡小籠包吧
你現在一個星期三次在夜店喝酒要變成一個星期一次 你現在一個星期三次在夜店喝酒變成一個星期一次
我們見面的事情是否在夢中或是現實 我們見面的事情是否在夢或是現實
我希望見面時的心情會很高興 我希望見面的心情會很高興
起床後會在家休息 起床後在家休息
這個星期六晚上六點在美麗華門口見面 這個星期六到晚上六點在美麗華門口見面
所以我們首先決定用什麼方法來認出自己 所以我們首先決定什麼方法來認出自己
每一次一定都要付錢 每一次一定要付錢
而且會是永遠忘不了的回憶 而且會永遠忘不了的回憶
如果別的班不需要在錢的方面的幫助 如果別的班不需要在錢方面的幫助
這個錢比較大負擔 這個錢比較負擔
我覺得我們表演的節目中 我覺得我們做表演的節目中
所以到練習完前要一起吃飯 所以到練習完前一起吃飯
準備的時候最重要的是團體的精神 準備的時候最重要團體的精神
因為我在台灣當留學生的時候 因為我在台灣留學生的時候
因為視聽華語書裡面的生詞 因為視聽華語書裡面生詞
又高興又有意思 又高興又有意思了
比如說其他中文課本文法解釋的部份很難 比如說其他中文課本文法解釋的部份很難解釋
而是文法解釋的很清楚 而是文法解釋很清楚
我認為這本書多少得看兩次才對 我認為這本書多少看兩次才對
才能感覺到不同的意思 感覺到不同的意思
跟他和他的朋友們一起到「三里屯酒吧區」去玩兒 跟他和他的朋友們一起到「三里屯酒吧區」出去玩兒
第一個晚上 一個晚上
我決定去大陸旅行 我決定了去大陸旅行
因為那是我第一次去北京 因為那是我的第一次去北京
讓我中文進步得越來越快 讓我中文進步越來越快
但是我覺得我的理由很有意思 我覺得我的理由很有意思
我跟牠說謝謝 我牠說謝謝
我有一個小小的事情要跟你說 我有一個小小的事情跟你說
你學校的生活好嗎 你的學校的生活好嗎
已開學了三個月吧 已開學了三個月
放聲高歌 放高歌
你有很多好朋友吧 你有很多好朋吧
從來沒吃過香菜 從來沒吃香菜
我來台灣過一次 我有來台灣過一次
我也去過很多流行的地方 我也去很多流行的地方
可惜沒有時間去 沒有時間去
很多計程車不注意別的人在哪裡 很多計程不注意別的人在哪裡
所以我學了一些很有意思的知識 我學了一些很有意思的知識
每天我跟他做什麼都覺得很開心 每天都我跟他做什麼都覺得很開心
她皮膚黑黑的 她皮膚黑黑
幸虧我的朋友幫我找到一個套房 幸虧我的朋友幫我找到一個套
雖然我在台北這算便宜 雖然我在台北算便宜
我喜歡很多演員 我很喜歡很多演員
我覺得喜歡運動的人大部分都很有禮貌 我覺得喜歡運動的人大部分都是很有禮貌
最特別就是「喝醉時」打得特別厲害 最特別就是「喝醉時」是打得特別厲害
然後他會用自己的功夫能力幫別人打壞人 然後他會用自己的功夫能力幫別人打壞人的
